symbol,sector
AAPL,Tech
AMD,Tech
AMZN,Consumer Disc
AVGO,Tech
AMAT,Tech
ASML,Tech
BE,Industrials
APP,Communication
AAOI,Tech
ASTS,Tech
BAC,Financials
ADI,Tech
ALAB,Tech
ABBV,Healthcare
ANET,Tech
BA,Industrials
ADBE,Tech
APH,Tech
ABT,Healthcare
AAL,Industrials
ACN,Tech
AZO,Consumer Disc
AXP,Financials
AXTI,Tech
AMGN,Healthcare
APLD,Tech
AKAM,Tech
ADP,Tech
AMT,Real Estate
ADSK,Tech
AEP,Utilities
ABNB,Consumer Disc
B,Materials
AON,Financials
APO,Financials
AXON,Industrials
BDX,Healthcare
AEM,Materials
ALB,Materials
AJG,Financials
AMKR,Tech
AZN,Healthcare
ALL,Financials
ARES,Financials
APD,Materials
ALNY,Healthcare
AA,Materials
AFRM,Financials
AIG,Financials
ATI,Industrials
AMP,Financials
AEIS,Industrials
AFL,Financials
AME,Industrials
ADM,Staples
A,Healthcare
AU,Materials
BBY,Consumer Disc
AG,Materials
APGE,Healthcare
AWK,Utilities
AEHR,Tech
APA,Energy
BB,Tech
ATO,Utilities
AVAV,Industrials
AGX,Industrials
ACGL,Financials
APTV,Consumer Disc
BBIO,Healthcare
AVB,Real Estate
AEE,Utilities
AXSM,Healthcare
AER,Industrials
AR,Energy
ASND,Healthcare
ALGN,Healthcare
BALL,Consumer Disc
BAP,Financials
ALK,Industrials
AMRZ,Materials
AMCR,Consumer Disc
AMPX,Industrials
BAM,Financials
AGNC,Real Estate
ARWR,Healthcare
AHR,Real Estate
AGI,Materials
BCS,Financials
AS,Consumer Disc
ALLY,Financials
ALLE,Industrials
AES,Utilities
ARMK,Industrials
ACM,Industrials
BAH,Industrials
ARW,Tech
ALC,Healthcare
BAX,Healthcare
AAON,Industrials
APG,Industrials
AYI,Industrials
ALGM,Tech
ACMR,Tech
ACI,Staples
BBWI,Consumer Disc
AVT,Tech
ANF,Consumer Disc
AVY,Consumer Disc
ALHC,Healthcare
ARE,Real Estate
ALSN,Consumer Disc
AMG,Financials
ARCC,Financials
AOS,Industrials
AIZ,Financials
AAP,Consumer Disc
ACLS,Tech
ALM,Materials
AMH,Real Estate
ALV,Consumer Disc
ALKS,Healthcare
AEO,Consumer Disc
AMBA,Tech
BCE,Communication
ADC,Real Estate
AGCO,Industrials
AIT,Industrials
AVTR,Healthcare
AVEX,Industrials
AUGO,Materials
ASO,Consumer Disc
ACHC,Healthcare
AXTA,Materials
AN,Consumer Disc
ATMU,Consumer Disc
AESI,Energy
AWI,Industrials
AROC,Energy
ASST,Financials
AFG,Financials
AXS,Financials
ACA,Industrials
ARXS,Industrials
ASH,Materials
BDC,Tech
ATR,Healthcare
AMSC,Industrials
BAND,Tech
ADEA,Tech
APPF,Tech
ASB,Financials
BANC,Financials
BC,Consumer Disc
ARR,Real Estate
AM,Energy
AKAN,Healthcare
ABG,Consumer Disc
ALGT,Industrials
ARCB,Industrials
AMR,Materials
AIR,Industrials
APLE,Real Estate
AMTM,Industrials
AXGN,Healthcare
BCO,Industrials
ATRO,Industrials
ABCB,Financials
AMBQ,Tech
AEVA,Tech
ADTN,Tech
AOSL,Tech
AUB,Financials
ARQT,Healthcare
AVNS,Healthcare
BBVA,Financials
ADPT,Healthcare
APPS,Tech
ANAB,Healthcare
ACAD,Healthcare
ATKR,Industrials
ACIW,Tech
ABSI,Healthcare
AX,Financials
ALMU,Tech
BCPC,Materials
AGIO,Healthcare
AVTX,Healthcare
AZZ,Industrials
ATEN,Tech
AGO,Financials
AIP,Tech
AAMI,Financials
AGYS,Tech
BCC,Materials
ALG,Industrials
ALMS,Healthcare
ALOY,Materials
ALKT,Tech
ANIP,Healthcare
AVA,Utilities
APAM,Financials
AMN,Healthcare
AVNT,Materials
AWR,Utilities
AMRX,Healthcare
AGL,Healthcare
ATEX,Communication
AZTA,Healthcare
ALRM,Tech
ABM,Industrials
BBT,Financials
ARIS,Materials
ANDE,Staples
ATRC,Healthcare
ADUS,Healthcare
BATRK,Communication
APPN,Tech
ARX,Financials
AVPT,Tech
ASR,Industrials
AUPH,Healthcare
ADNT,Consumer Disc
ALH,Consumer Disc
AGM,Financials
AAUC,Materials
AMLX,Healthcare
